Name,G,Snaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap,Year,Pos_FB,Pos_RB,Pos_TE,Pos_WR,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GB,Team_HOU,Team_IND,Team_JAX,Team_KC,Team_LAC,Team_LAR,Team_LV,Team_MIA,Team_MIN,Team_NE,Team_NO,Team_NYG,Team_NYJ,Team_OAK,Team_PHI,Team_PIT,Team_SD,Team_SEA,Team_SF,Team_TB,Team_TEN,Team_WAS
Dallas Goedert,16,0.6744506547621941,0.3435385494901871,0.36958033661685746,-0.5511228920379261,-0.14631031039582998,-0.5860203426718578,0.16984008403830422,-0.1337723458054731,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quincy Enunwa,11,0.6744506547621941,1.4013859737166146,1.1877772267453766,-0.5397048975458657,0.5901876295097558,-0.27955718693490217,0.019231638455128715,-0.2861935257682405,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geoff Swaim,9,0.6363348574355654,1.8395629705162866,1.7021664244267112,-0.5511228920379261,-0.3999292507913332,-0.6877914093987642,-0.3121069418278574,-0.5148252957123916,2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Reed,13,0.6259396399828485,0.8024576526472401,0.7260334053725797,-0.5511228920379261,1.0630365014335754,-0.10073909794016818,0.3186766655557953,0.0186488341572943,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TJ Yeldon,14,0.6120793500458926,0.5928142205351402,0.5560327110429274,0.6814195660260678,0.9111517122701667,1.0181676582776844,1.2453615719087459,0.7807547339711312,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kareem Hunt,11,0.6051492050774147,1.1787787251311512,1.0879703674937742,1.6026714374117834,-0.29962797492870485,1.41317739184483,2.7709365324630295,2.076334763654654,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Watson,16,0.6016841325931757,0.34057539143913274,0.2977413335291656,-0.5511228920379261,0.01560460635384169,-0.5210478537445106,0.07415942449134569,-0.20998293578685676,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Charles Clay,13,0.6016841325931757,0.7157852796538986,0.6964203811990274,-0.5511228920379261,-0.26953759216991635,-0.6354684315900156,-0.5566241828923071,-0.7434570656565426,2018,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyheim Hines,16,0.5843587701719808,0.19093590986088463,0.2807412640962005,0.47228998269780353,1.0329461186747868,0.8669485026326202,0.8874450306404935,0.5521229640269801,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Williams,16,0.5739635527192639,0.392430657332585,0.27032186670180236,0.915187979574041,-0.1076226754202448,0.8318748581674148,0.7013993037436297,0.39970178406421264,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
